state,year,avg_home_price
Michigan,2022,223274
Michigan,2023,228977
Michigan,2024,240448
Michigan,2025,248303
Minnesota,2015,192388
Minnesota,2016,205209
Minnesota,2017,219500
Minnesota,2018,234372
Minnesota,2019,246682
Minnesota,2020,260631
Minnesota,2021,292434
Minnesota,2022,318312
Minnesota,2023,320705
Minnesota,2024,326650
Minnesota,2025,334091
Mississippi,2015,127761
Mississippi,2016,133358
Mississippi,2017,135272
Mississippi,2018,138486
Mississippi,2019,143401
Mississippi,2020,150376
Mississippi,2021,167806
Mississippi,2022,184702
Mississippi,2023,183496
Mississippi,2024,186260
Mississippi,2025,189417
Missouri,2015,133998
Missouri,2016,141365
Missouri,2017,149142
Missouri,2018,157558
Missouri,2019,165468
Missouri,2020,176628
Missouri,2021,202720
Missouri,2022,228675
Missouri,2023,237577
Missouri,2024,247051
Missouri,2025,253684
Montana,2015,212560
Montana,2016,224141
Montana,2017,234678
Montana,2018,248809
Montana,2019,262121
Montana,2020,283492
Montana,2021,353154
Montana,2022,426862
Montana,2023,428427
Montana,2024,444965
Montana,2025,453345
Nebraska,2015,140932
Nebraska,2016,149083
Nebraska,2017,157252
Nebraska,2018,167104
Nebraska,2019,176373
Nebraska,2020,188247
Nebraska,2021,212495
Nebraska,2022,236022
Nebraska,2023,248066
Nebraska,2024,257712
Nebraska,2025,264990
Nevada,2015,208717
Nevada,2016,225934
Nevada,2017,247083
Nevada,2018,281658
Nevada,2019,301796
Nevada,2020,313382
Nevada,2021,364438
Nevada,2022,437285
Nevada,2023,419038
Nevada,2024,438728
Nevada,2025,446120
New Hampshire,2015,224935
New Hampshire,2016,235668
New Hampshire,2017,250461
New Hampshire,2018,267387
New Hampshire,2019,279447
New Hampshire,2020,300889
New Hampshire,2021,357202
New Hampshire,2022,410480
New Hampshire,2023,437406
New Hampshire,2024,470364
New Hampshire,2025,487135
New Jersey,2015,298451
New Jersey,2016,308137
New Jersey,2017,317976
New Jersey,2018,331623
New Jersey,2019,344715
New Jersey,2020,363862
New Jersey,2021,413215
New Jersey,2022,456320
New Jersey,2023,482905
New Jersey,2024,525124
New Jersey,2025,548935
New Mexico,2015,169202
New Mexico,2016,173422
New Mexico,2017,178067
New Mexico,2018,184913
New Mexico,2019,194893
New Mexico,2020,210259
New Mexico,2021,242857
New Mexico,2022,277501
New Mexico,2023,289780
New Mexico,2024,302408
New Mexico,2025,308841
New York,2015,276136
New York,2016,288605
New York,2017,304938
New York,2018,324423
New York,2019,341579
New York,2020,358377
New York,2021,397245
New York,2022,433003
New York,2023,442051
New York,2024,471129
New York,2025,493035
North Carolina,2015,161665
North Carolina,2016,170220
North Carolina,2017,180381
North Carolina,2018,192577
North Carolina,2019,204389
North Carolina,2020,220051
North Carolina,2021,259118
North Carolina,2022,307556
North Carolina,2023,319128
North Carolina,2024,330319
North Carolina,2025,330677
North Dakota,2015,221026
North Dakota,2016,225699
North Dakota,2017,222137
North Dakota,2018,218215
North Dakota,2019,220468
North Dakota,2020,227462
North Dakota,2021,238187
North Dakota,2022,255061
North Dakota,2023,257662
North Dakota,2024,260932
North Dakota,2025,272153
Ohio,2015,120530
Ohio,2016,126671
Ohio,2017,132867
Ohio,2018,141187
Ohio,2019,149885
Ohio,2020,160573
Ohio,2021,183229
Ohio,2022,202556
Ohio,2023,211707
Ohio,2024,224743
Ohio,2025,233897
Oklahoma,2015,122646
Oklahoma,2016,126240
Oklahoma,2017,129685
Oklahoma,2018,134416
Oklahoma,2019,140099
Oklahoma,2020,150275
Oklahoma,2021,170691
Oklahoma,2022,194160
Oklahoma,2023,202821
Oklahoma,2024,209870
Oklahoma,2025,214387
Oregon,2015,258453
Oregon,2016,291132
Oregon,2017,319223
Oregon,2018,341354
Oregon,2019,354689
Oregon,2020,376382
Oregon,2021,440840
Oregon,2022,492733
Oregon,2023,483673
Oregon,2024,490241
Oregon,2025,491540
Pennsylvania,2015,160049
Pennsylvania,2016,165021
Pennsylvania,2017,171120
Pennsylvania,2018,179350
Pennsylvania,2019,186923
Pennsylvania,2020,199473
Pennsylvania,2021,225223
Pennsylvania,2022,246030
Pennsylvania,2023,254518
Pennsylvania,2024,266307
Pennsylvania,2025,274820
Rhode Island,2015,230213
Rhode Island,2016,244496
Rhode Island,2017,262368
Rhode Island,2018,280578
Rhode Island,2019,290655
Rhode Island,2020,309737
Rhode Island,2021,359771
Rhode Island,2022,403238
Rhode Island,2023,424542
Rhode Island,2024,457740
Rhode Island,2025,477722
